id,occurred_at,location_text,dead_count,injured_count,vehicles,longitude,latitude
1598,2021-02-22 11:52:00+00,屏東縣內埔鄉美和村學興路口 / 屏東縣內埔鄉美和村學人路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.562638,22.604819
1599,2021-02-22 11:52:00+00,屏東縣內埔鄉美和村學興路口 / 屏東縣內埔鄉美和村學人路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.562638,22.604819
1600,2021-02-27 22:25:00+00,屏東縣內埔鄉學人路642號前,0,1,"[""自用小客車"",""普通重型機車""]",120.563202,22.605924
1601,2021-03-17 07:56:00+00,屏東縣內埔鄉和興村學人路口 / 屏東縣內埔鄉和興村埔興路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.564758,22.608639
1602,2021-03-17 07:56:00+00,屏東縣內埔鄉和興村學人路口 / 屏東縣內埔鄉和興村埔興路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.564758,22.608639
1603,2021-03-22 19:35:00+00,屏東縣內埔鄉學人路660巷,0,1,"[""自用小客車"",""普通重型機車""]",120.564022,22.606086
1604,2021-04-15 10:38:00+00,屏東縣內埔鄉美和村屏光路與學人路口附近南向車道,0,2,"[""自用小客車"",""普通重型機車"",""乘客人""]",120.561076,22.602399
1605,2021-04-20 07:24:00+00,屏東縣內埔鄉學人路55號前,0,3,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.556629,22.594345
1606,2021-04-22 09:35:00+00,屏東縣內埔鄉學人路與學興路口,0,3,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.562598,22.604782
1607,2021-05-05 18:56:00+00,屏東縣內埔鄉學人路與德美路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.562692,22.604931
1608,2021-05-10 08:00:00+00,屏東縣內埔鄉和興村學人路與學興路口,0,1,"[""普通重型機車"",""自用小貨車(含客、貨兩用)""]",120.56262,22.604693
1609,2021-05-11 16:38:00+00,屏東縣內埔鄉學人路648-1號前,0,1,,120.563387,22.605971
1610,2021-05-12 11:10:00+00,屏東縣內埔鄉學人路口 / 屏東縣內埔鄉陽明路,0,1,"[""自用小客車,自用小客車""]",120.560024,22.599887
1611,2021-05-12 11:10:00+00,屏東縣內埔鄉學人路口 / 屏東縣內埔鄉陽明路,0,1,"[""自用小客車,自用小客車""]",120.560024,22.599887
1612,2021-05-14 19:08:00+00,屏東縣內埔鄉學人路509號前,0,1,"[""腳踏自行車慢車""]",120.562058,22.604086
1613,2021-05-16 17:36:00+00,屏東縣內埔鄉學人路660巷口,0,1,"[""普通重型機車"",""腳踏自行車慢車""]",120.563426,22.606348
1614,2021-05-25 12:02:00+00,屏東縣內埔鄉學人路76號前,0,1,"[""自用小客車"",""普通重型機車""]",120.557403,22.594703
1615,2021-06-02 11:50:00+00,屏東縣內埔鄉學人路685號前,0,2,"[""普通重型機車"",""普通重型機車"",""自用大貨車""]",120.563722,22.607008
1616,2021-06-10 16:52:00+00,屏東縣內埔鄉學人路715號前,0,1,"[""自用小客車"",""普通重型機車""]",120.564105,22.607866
1617,2021-06-19 17:54:00+00,屏東縣內埔鄉學人路606號附近,0,2,"[""普通重型機車"",""普通重型機車""]",120.56297,22.605143
1618,2021-06-21 15:46:00+00,屏東縣內埔鄉學人路與屏光路口,0,1,"[""電動輔助自行車慢車""]",120.561222,22.602632
1619,2021-01-13 10:38:00+00,屏東縣內埔鄉四維路438巷72號,0,1,"[""普通重型機車""]",120.559723,22.59341
1620,2021-01-16 10:00:00+00,屏東縣內埔鄉美和村四維路口 / 屏東縣內埔鄉美和村四維路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.559236,22.587164
1621,2021-01-16 10:00:00+00,屏東縣內埔鄉美和村四維路口 / 屏東縣內埔鄉美和村四維路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.559236,22.587164
1622,2021-01-16 10:00:00+00,屏東縣內埔鄉美和村四維路口 / 屏東縣內埔鄉美和村四維路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.559236,22.587164
1623,2021-01-16 10:00:00+00,屏東縣內埔鄉美和村四維路口 / 屏東縣內埔鄉美和村四維路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.559236,22.587164
1624,2021-02-17 07:20:00+00,屏東縣內埔鄉台1線與四維路453巷口,0,1,"[""自用小客車"",""普通重型機車""]",120.556195,22.592902
1625,2021-04-23 16:12:00+00,屏東縣內埔鄉美和村四維路1之10號附近,0,1,"[""自用小客車"",""普通重型機車""]",120.56191,22.582209
1626,2021-04-29 18:22:00+00,屏東縣內埔鄉四維路162號旁,0,1,"[""普通重型機車""]",120.558819,22.589148
1627,2021-01-25 15:29:00+00,屏東縣內埔鄉屏光路與復興路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.609827,22.643345
1628,2021-03-09 10:39:00+00,屏東縣內埔鄉內田村復興路百達加油站檢驗廠前,0,2,"[""自用小客車"",""普通重型機車"",""乘客人""]",120.55896,22.608052
1629,2021-03-20 09:57:00+00,屏東縣內埔鄉美和村復興路口 / 屏東縣內埔鄉美和村陽明路附近,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.556187,22.607354
1630,2021-03-20 09:57:00+00,屏東縣內埔鄉美和村復興路口 / 屏東縣內埔鄉美和村陽明路附近,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.556187,22.607354
1631,2021-04-09 00:34:00+00,屏東縣內埔鄉內田村復興路58號前0.0公尺,0,3,,120.563616,22.609392
1632,2021-04-15 13:07:00+00,屏東縣內埔鄉復興路與里順路101巷口,0,1,"[""自用小客車"",""普通重型機車""]",120.559256,22.608473
1633,2021-04-20 09:37:00+00,屏東縣內埔鄉復興路87巷,0,1,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.562028,22.608787
1634,2021-05-02 16:10:00+00,屏東縣內埔鄉復興路145號前,0,1,"[""自用小客車""]",120.5596,22.607987
1635,2021-05-07 13:49:00+00,屏東縣內埔鄉內田村復興路87巷附近,0,3,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.561893,22.607239
1636,2021-05-12 16:30:00+00,屏東縣內埔鄉內田村復興路38號前0.0公尺,0,2,"[""普通重型機車"",""普通重型機車""]",120.564371,22.609812
1637,2021-06-18 20:00:00+00,屏東縣內埔鄉東寧村屏光路口 / 屏東縣內埔鄉東寧村南寧路附近,0,2,"[""普通重型機車"",""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.556517,22.622819
1638,2021-06-18 20:00:00+00,屏東縣內埔鄉東寧村屏光路口 / 屏東縣內埔鄉東寧村南寧路附近,0,2,"[""普通重型機車"",""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.556517,22.622819
1639,2021-04-15 10:38:00+00,屏東縣內埔鄉美和村屏光路與學人路口附近南向車道,0,2,"[""自用小客車"",""普通重型機車"",""乘客人""]",120.561076,22.602399
1640,2021-06-21 15:46:00+00,屏東縣內埔鄉學人路與屏光路口,0,1,"[""電動輔助自行車慢車""]",120.561222,22.602632
1641,2021-01-25 15:29:00+00,屏東縣內埔鄉屏光路與復興路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.609827,22.643345
1642,2021-01-06 12:16:00+00,屏東縣內埔鄉屏光路23號前,0,1,"[""普通重型機車"",""自用小客車""]",120.560646,22.603808
1643,2021-01-20 16:37:00+00,屏東縣內埔鄉東寧村台一線屏光路與自強路口附近,0,1,"[""自用小客車"",""腳踏自行車慢車""]",120.557624,22.617842
1644,2021-01-21 23:10:00+00,屏東縣內埔鄉屏光路口 / 屏東縣內埔鄉自強路,0,1,"[""普通重型機車"",""普通重型機車""]",120.557708,22.616668
1645,2021-01-21 23:10:00+00,屏東縣內埔鄉屏光路口 / 屏東縣內埔鄉自強路,0,1,"[""普通重型機車"",""普通重型機車""]",120.557708,22.616668
1646,2021-02-23 17:50:00+00,屏東縣內埔鄉屏光路與自強路口,0,2,"[""普通重型機車"",""自用小客車"",""乘客人""]",120.557806,22.616649
1647,2021-03-07 14:53:00+00,屏東縣內埔鄉屏光路與埤頭巷口,0,2,"[""普通重型機車"",""普通重型機車""]",120.559327,22.610082
1648,2021-03-16 17:25:00+00,屏東縣內埔鄉屏光路與自強路口,0,2,"[""自用小客車,自用小客車""]",120.560668,22.603895
1649,2021-03-24 07:50:00+00,屏東縣內埔鄉東寧村台一線屏光路與自強路口,0,1,"[""自用小客車"",""普通重型機車""]",120.557829,22.616619
1650,2021-04-19 16:31:00+00,屏東縣內埔鄉屏光路與自強路口,0,1,"[""自用小客車"",""普通重型機車""]",120.557784,22.616653
1651,2021-05-06 16:33:00+00,屏東縣內埔鄉屏光路與自強路口,0,1,"[""腳踏自行車慢車"",""自用小客車""]",120.55777,22.616655
1652,2021-05-09 12:18:00+00,屏東縣內埔鄉屏光路口 / 屏東縣內埔鄉自強路,0,1,"[""普通重型機車""]",120.557708,22.616668
1653,2021-05-09 12:18:00+00,屏東縣內埔鄉屏光路口 / 屏東縣內埔鄉自強路,0,1,"[""普通重型機車""]",120.557708,22.616668
1654,2021-05-20 16:47:00+00,屏東縣內埔鄉屏光路與大義路口,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.560668,22.603895
